pr,reviewer,weight
40921,mdanatg,0.7500266793502471
40921,rahul-kamat,1.000018504176773
40903,mihaimaruseac,1.0560317340779508e-05
40903,tg-at-google,1.011646286332042
40901,mdanatg,0.0031795049801816035
40901,rahul-kamat,0.10966062929405092
40901,edloper,1.0052679123061552
40897,mihaimaruseac,1.0523691345448626e-05
40897,tg-at-google,0.06274363515581417
40861,mihaimaruseac,1.0016095651968893
40861,zhuzilin,1.000754440592028
40854,annarev,0.18788924139975152
40851,saxenasaurabh,0.0002603353573329537
40851,amturati,0.5023415065550796
40835,mihaimaruseac,1.0025300077485833
40835,vnghia,1.0022454021766103
40828,mihaimaruseac,1.000547233301132
40817,mdanatg,0.01964958293908687
40817,rahul-kamat,0.7545905310476968
40811,k-w-w,0.8134804350890847
40811,yil532,0.8154185326392247
40798,jaingaurav,1.0034104032033313
40798,lgeiger,1.0032334760494492
40778,kkimdev,1.0702871192064527
40778,lgeiger,1.0702891045183212
40777,mihaimaruseac,1.0033207298813855
40776,mihaimaruseac,1.0039787905556419
40776,vnghia,1.0039730442564077
40773,alextp,0.50160213782853
40773,amturati,0.7528861084629438
40773,gbaned,1.0005206604298522
40769,penpornk,1.003340150988649
40769,gaurides,1.0001369843756978
40745,stellaraccident,1.0069366695290363
40745,bondhugula,1.0068923030013515
40741,mihaimaruseac,0.7530630337650106
40736,DEKHTIARJonathan,0.3556654960709545
40736,bixia1,0.0238764666476169
40736,tfeher,0.023910475722429606
40710,mihaimaruseac,0.06279523606646834
40710,vnghia,0.31392058676859214
40701,martinwicke,0.00013809030270841473
40701,goldiegadde,0.019701928372290685
40701,sun51,1.0072428104903017
40701,guptapriya,1.0072558937390266
40697,mihaimaruseac,0.18840328785803992
40696,mdanatg,0.19253748137664167
40696,joelberkeley,1.1330943852252569
40695,superbobry,0.5015781095448484
40695,lgeiger,0.7513610059032209
40695,gbaned,1.000515006525414
40691,fchollet,1.0025052372526437
40691,xingyu-long,1.0024925794381445
40685,qlzh727,0.502659669365561
40685,vishalsubbiah,0.7539836027266493
40682,alextp,1.0049656243958172
40678,allenlavoie,0.01960668792437171
40678,abhichou4,0.10975883806036316
40657,chsigg,0.5070254839204175
40657,Niram7777,0.5085850666645209
40657,gbaned,1.0285116223157904
40657,jgehw,0.7908493264550616
40626,mihaimaruseac,1.005742900288355
40624,reedwm,0.188840085534826
40624,nluehr,0.1887036272913223
40621,qlzh727,3.843349008574057e-05
40621,yixingfu,0.7540322717142295
40619,yashk2810,0.5037994451354488
40619,jpodivin,0.75570603899891
40618,mihaimaruseac,1.0056557915659996
40618,vnghia,1.0056533833893055
40602,qlzh727,0.5054259287172342
40602,yixingfu,1.0108323245168735
40601,qlzh727,1.0067377997875404
40601,jonah-kohn,0.06289006052223921
40597,mihaimaruseac,0.7562308935667633
40596,ezhulenev,1.008745506571582
40596,reedwm,1.008661349137652
40582,mihaimaruseac,1.008914734771775
40582,vnghia,1.0088931558761391
40581,rthadur,1.0053037755109735
40581,nouiz,1.005335007541368
40578,joker-eph,1.008540185013081
40578,pifon2a,1.0082863401282134
40578,xinan-jiang,1.008230159332954
40564,lgeiger,0.31512257665040183
40564,reedwm,0.3151475143198552
40557,mdanatg,1.0573009920629392e-05
40557,rahul-kamat,0.1102517615471646
